Transaction ID,Account Number,Customer Name,Transaction Date,Transaction Time,Transaction Type,Amount,Balance Before,Balance After,Transaction Mode,Branch Code,City,Country,Is Fraudulent,Employee ID
T000158,GB57MUGT85532019625265,Corey Becker,2025-01-12,02:00:53,Transfer,2146.7,11376.51,9229.81,Bank Branch,BR-878,South Josephland,Pitcairn Islands,No,E1359
T000159,GB20UBHV13913378854300,Jessica Fisher,2025-01-08,14:18:25,Deposit,1419.57,12461.8,13881.37,ATM,BR-663,Donaldsonmouth,Bulgaria,No,E1241
T000160,GB93CHYK23422004741168,Nicholas Reyes,2025-01-18,01:15:55,Transfer,67.55,5190.24,5122.69,Online,BR-137,Sarahmouth,Reunion,Yes,
T000161,GB63QSKR89849731900637,Andrea Miller,2025-01-19,02:12:05,Transfer,3867.04,5169.01,1301.97,Online,BR-565,Lake Jasmin,Congo,No,E1202
T000162,GB85XMZE32831383830140,Douglas Wilson,2025-01-12,18:04:26,Deposit,3203.71,9280.88,12484.59,ATM,BR-190,Rogerfort,French Guiana,No,E1616
T000163,GB83NIFO95667097687793,Scott Long,2025-01-04,21:44:01,Transfer,1346.68,1551.47,204.79,Online,BR-422,Yolandaland,Mali,No,E1778
T000164,GB03VOTX92528322096975,Brent Brown,2025-01-16,23:13:22,Transfer,3719.09,7386.46,3667.37,ATM,BR-358,East Kellyport,United States Minor Outlying Islands,No,
T000165,GB33RXJK90669491262384,John Martin,2025-01-01,16:13:49,Withdrawal,2780.82,13903.7,11122.88,Online,BR-431,Montesborough,Brazil,Yes,
T000166,GB22IUEQ69592116082515,Anthony Jennings,2025-01-02,03:01:21,Transfer,2167.05,8682.02,6514.97,ATM,BR-218,West Bryan,Ukraine,No,
T000167,GB72BLHQ41806962436979,Christopher Mitchell,2025-01-09,15:19:56,Withdrawal,97.87,4135.85,4037.98,Online,BR-891,West Thomas,Taiwan,Yes,
T000168,GB23RQBY85325359922531,Michaela Fields,2025-01-07,18:27:40,Deposit,422.46,9880.41,10302.87,Bank Branch,BR-513,East Sandraborough,Egypt,Yes,
T000169,GB96TBNC19619593931542,Dustin Ballard,2025-01-09,01:21:51,Withdrawal,4421.38,3424.93,-996.45,Bank Branch,BR-985,Lake Erictown,Ukraine,Yes,
T000170,GB48VQRY41788130291765,Shelby Robinson,2025-01-23,23:36:23,Withdrawal,4524.45,12822.88,8298.43,Online,BR-626,New Catherine,Haiti,No,
T000171,GB74NIMW87858666622766,Melanie Rose,2025-01-16,13:32:08,Deposit,2750.67,1512.36,4263.03,ATM,BR-944,Jasonfort,Puerto Rico,No,
T000172,GB71MBDE40298250837100,Marcia Garza,2025-01-19,01:24:29,Withdrawal,4181.25,8486.38,4305.13,Online,BR-101,North Samuel,Sao Tome and Principe,Yes,E1605
T000173,GB33CJAY04770784038179,Jessica Rivera,2025-01-14,20:20:54,Deposit,2933.42,11723.45,14656.87,Online,BR-773,Brownview,Antigua and Barbuda,No,E1360
T000174,GB79OYZE77596228828219,Angela Houston,2025-01-14,03:12:47,Transfer,783.06,1514.94,731.88,Bank Branch,BR-990,East Lisa,Congo,Yes,
T000175,GB06OQDE43585134150140,Rebecca Jackson,2025-01-06,15:25:36,Transfer,680.86,13212.24,12531.38,ATM,BR-655,East Andrewview,Grenada,No,E1462
T000176,GB23COYS44607572847812,Lori Moore,2025-01-19,23:34:10,Withdrawal,1575.88,3578.29,2002.41,Bank Branch,BR-573,Port John,Macedonia,Yes,
T000177,GB72FFSQ79757567918390,Manuel Howell,2025-01-08,17:48:05,Transfer,4499.96,9772.27,5272.31,Online,BR-523,East Luisshire,Panama,No,
T000178,GB96CMNR06283373823117,Diana Hamilton,2025-01-21,13:44:12,Deposit,3990.81,1955.41,5946.22,Bank Branch,BR-155,Lake Nathan,Cyprus,No,E1078
T000179,GB94MKTD57951079104628,Christopher Roberson,2025-01-08,09:33:13,Transfer,4310.48,8202.97,3892.49,ATM,BR-292,Owenton,Cook Islands,No,
T000180,GB61ILSX49199490607499,Jeff Johnson,2025-01-14,08:37:20,Deposit,4499.68,5021.55,9521.23,Online,BR-630,Christianview,Kiribati,No,E1473
T000181,GB20OHSS41538443319494,Elizabeth Terry,2025-01-21,21:57:20,Transfer,1089.88,7210.07,6120.19,Online,BR-470,Johnsonport,Antarctica (the territory South of 60 deg S),No,E1460
T000182,GB26WGLB92754462184204,Jay Simpson,2025-01-01,17:22:07,Withdrawal,1285.17,15463.36,14178.19,Bank Branch,BR-737,South Heathermouth,Namibia,Yes,
T000183,GB09UCNJ00352418555060,Cynthia Davis,2025-01-15,08:48:01,Transfer,558.83,8203.4,7644.57,ATM,BR-874,Morganview,Sao Tome and Principe,Yes,E1513
T000184,GB33SQWB03534518814792,Michael Holloway,2025-01-17,19:06:56,Transfer,3911.58,15288.19,11376.61,ATM,BR-610,East Natashaview,Malawi,No,E1980
T000185,GB11UNJB47143484463310,Jessica Vazquez,2025-01-20,17:05:31,Transfer,4426.47,16806.56,12380.09,ATM,BR-740,Warrenville,Ecuador,Yes,E1461
T000186,GB06KXFL29842630734716,Jennifer Hart,2025-01-17,21:56:39,Deposit,2061.57,5793.16,7854.73,ATM,BR-552,Alexmouth,Cocos (Keeling) Islands,No,
T000187,GB91GYFW95548162839147,Stephanie Gonzales,2025-01-01,14:01:18,Deposit,3122.27,2556.22,5678.49,ATM,BR-878,North Steve,Turks and Caicos Islands,Yes,E1731
T000188,GB62PNUF72935031530403,Monica Reyes,2025-01-08,07:30:29,Withdrawal,815.04,1368.28,553.24,Online,BR-152,Aliciaport,Seychelles,Yes,E1516
T000189,GB76LSAA97134301668440,Roberta Smith,2025-01-19,09:11:56,Deposit,4652.91,11248.96,15901.87,Online,BR-308,Port Mark,Honduras,No,E1040
T000190,GB52SFOH61588435988294,Jessica Chan,2025-01-20,07:06:44,Transfer,4329.8,19998.25,15668.45,ATM,BR-373,Lake Markport,Marshall Islands,No,
T000191,GB43EGCH38855528242494,Monica Carr,2025-01-16,13:24:34,Transfer,4882.22,7649.25,2767.03,ATM,BR-662,Vincentborough,South Africa,No,E1449
T000192,GB60SCSI33989432278242,Veronica Park,2025-01-12,03:12:23,Deposit,4063.32,13352.74,17416.06,Online,BR-234,Blankenshipburgh,Kuwait,Yes,
T000193,GB51EYCU03672562586128,Collin Mcmillan,2025-01-02,10:25:46,Transfer,4413.01,15843.43,11430.42,Online,BR-394,Christophertown,Uzbekistan,Yes,
T000194,GB40QBPM42942791096345,Jessica Ellis,2025-01-18,22:50:52,Withdrawal,172.69,13383.34,13210.65,ATM,BR-548,Wardtown,Cyprus,Yes,
T000195,GB10FRCE76949882840096,John Palmer,2025-01-06,09:24:55,Withdrawal,3695.99,15330.43,11634.44,ATM,BR-815,Ryanside,Namibia,Yes,
T000196,GB91WXLE93783728253751,Shawn Marquez,2025-01-14,23:18:03,Deposit,1694.32,19042.62,20736.94,Online,BR-596,Lake Angelaburgh,Faroe Islands,No,E1695
T000197,GB48SUIU08169586811256,Rhonda Matthews,2025-01-22,12:53:33,Deposit,4657.54,4787.85,9445.39,Bank Branch,BR-224,Stephenshire,Saint Martin,No,
T000198,GB59ZAGV35810492185833,Benjamin Miller,2025-01-02,02:45:13,Withdrawal,4021.06,1387.22,-2633.84,Bank Branch,BR-129,Lake Bryantown,United Arab Emirates,Yes,
T000199,GB38ZUDI24221053517077,Regina Harrison,2025-01-05,14:33:51,Withdrawal,4327.12,3895.26,-431.86,Bank Branch,BR-745,South Martin,Jamaica,Yes,
T000200,GB21PNQY53678215332469,Kayla Thomas,2025-01-23,14:15:43,Deposit,4063.21,3398.2,7461.41,Online,BR-723,Kimberlychester,Cayman Islands,Yes,
